time,gFx,gFy,gFz,TgF
0.1,-0.2154,0.7845,0.6268,1.03
0.2,-0.2278,0.7921,0.5792,1.01
0.3,-0.2127,0.7808,0.5794,1
0.4,-0.2381,0.7989,0.5972,1.03
0.5,-0.3145,0.8336,0.6138,1.08
0.6,-0.2417,0.7992,0.6524,1.06
0.7,-0.2029,0.7493,0.7135,1.05
0.8,-0.0098,0.6028,0.7323,0.95
0.9,-0.2366,0.712,0.7694,1.07
1,-0.124,0.7591,0.6788,1.03
1.1,-0.1626,0.7674,0.619,1
1.2,-0.1104,0.7523,0.6361,0.99
1.3,-0.1282,0.7703,0.6463,1.01
1.4,-0.1619,0.8548,0.5999,1.06
1.5,-0.2073,0.9229,0.3582,1.01
1.6,0.0715,0.9002,0.4942,1.03
1.7,0.0251,0.961,0.4192,1.05
1.8,0.0999,1.004,0.4795,1.12
1.9,-0.0816,0.9881,0.4742,1.1
2,-0.073,0.9356,0.3428,1
2.1,0.1531,0.9757,0.3042,1.03
2.2,0.1199,0.8851,0.4395,1
2.3,0.2229,0.878,0.3775,0.98
2.4,0.2874,0.9161,0.2915,1
2.5,0.2486,0.9081,0.2547,0.98
2.6,0.2559,0.9068,0.2915,0.99
2.7,0.3206,0.9286,0.2903,1.02
2.8,0.3279,0.9159,0.2317,1
2.9,0.4075,0.9032,0.2139,1.01
3,0.3853,0.8936,0.2141,1
3.1,0.4104,0.9122,0.1941,1.02
3.2,0.4236,0.9259,0.2044,1.04
3.3,0.3887,0.9225,0.1848,1.02
3.4,0.3504,0.9019,0.177,0.98
3.5,0.2979,0.9129,0.219,0.98
3.6,0.2986,0.9342,0.2193,1
3.7,0.3936,0.9449,0.21,1.04
3.8,0.3662,0.9312,0.2234,1.03
3.9,0.3738,0.9293,0.1944,1.02
4,0.3975,0.9156,0.178,1.01
4.1,0.4019,0.9012,0.1741,1
4.2,0.4097,0.9029,0.1287,1
4.3,0.4058,0.9212,0.1668,1.02
4.4,0.3897,0.9259,0.1768,1.02
4.5,0.3645,0.9193,0.1565,1
4.6,0.375,0.9254,0.1729,1.01
4.7,0.3814,0.9298,0.1939,1.02
4.8,0.3892,0.9239,0.1814,1.02
4.9,0.3816,0.9017,0.1607,0.99
5,0.4019,0.9144,0.1565,1.01
5.1,0.4065,0.9247,0.1826,1.03
5.2,0.3912,0.9222,0.1936,1.02
5.3,0.3843,0.9203,0.1597,1.01
5.4,0.3997,0.9225,0.1819,1.02
5.5,0.4012,0.909,0.1734,1.01
5.6,0.3934,0.9171,0.1734,1.01
5.7,0.3841,0.9227,0.1565,1.01
5.8,0.3863,0.9344,0.187,1.03
5.9,0.368,0.9291,0.1748,1.01
6,0.3753,0.9217,0.1797,1.01
6.1,0.3902,0.9073,0.1626,1
6.2,0.3985,0.9081,0.1485,1
6.3,0.4117,0.9371,0.1961,1.04
6.4,0.3746,0.9249,0.1665,1.01
6.5,0.3999,0.9173,0.1511,1.01
6.6,0.3975,0.9325,0.1856,1.03
6.7,0.3926,0.919,0.1604,1.01
6.8,0.4036,0.9161,0.1629,1.01
6.9,0.3829,0.9259,0.1404,1.01
7,0.42,0.8883,0.136,0.99
7.1,0.4324,0.8958,0.1267,1
